,prediccion
310,No
311,No
312,No
313,No
314,No
315,No
316,No
317,Yes
318,Yes
319,No
320,No
321,No
322,No
323,No
324,No
325,No
326,No
327,No
328,Yes
329,No
330,No
331,No
332,No
333,No
334,Yes
335,No
336,No
337,No
338,No
339,No
340,No
341,No
342,No
343,Yes
344,No
345,No
346,No
347,No
348,No
349,No
350,No
351,No
352,No
353,No
354,Yes
355,No
356,No
357,No
358,No
359,No
360,Yes
361,No
362,No
363,No
364,Yes
365,No
366,No
367,No
368,No
369,No
370,Yes
371,No
372,No
373,No
374,No
375,No
376,No
377,No
378,No
379,No
380,No
381,Yes
382,No
383,No
384,No
385,No
386,No
387,Yes
388,No
389,No
390,No
391,No
392,No
393,No
394,No
395,No
396,No
397,No
398,No
399,No
400,No
401,No
402,No
403,Yes
404,No
405,No
406,No
407,No
408,No
409,No
410,No
411,No
412,Yes
413,No
414,No
415,No
416,No
417,Yes
418,No
419,No
420,No
421,No
422,Yes
423,No
424,No
425,No
426,No
427,Yes
428,No
429,No
430,No
431,No
432,No
433,No
434,Yes
435,No
436,No
437,No
438,Yes
439,No
440,No
441,No
442,No
443,No
444,No
445,No
446,No
447,No
448,Yes
449,No
450,No
451,No
452,No
453,No
454,No
455,No
456,No
457,No
458,No
459,Yes
460,Yes
461,Yes
462,No
463,No
464,No
465,No
466,No
467,No
468,No
469,No
470,No
471,No
472,No
473,No
474,No
475,No
476,Yes
477,No
478,No
479,No
480,No
481,No
482,No
483,No
484,No
485,No
486,Yes
487,Yes
488,No
489,No
490,No
491,No
492,No
493,Yes
494,No
495,No
496,No
497,No
498,Yes
499,Yes
500,No
501,No
502,No
503,Yes
504,No
505,No
506,No
507,No
508,No
509,No
510,No
511,No
512,No
513,No
514,Yes
515,Yes
516,No
517,Yes
518,No
519,Yes
520,No
521,No
522,Yes
523,No
524,No
525,No
526,No
527,Yes
528,No
529,No
530,No
531,Yes
532,No
533,No
534,No
535,No
536,No
537,No
538,No
539,Yes
540,Yes
541,No
542,No
543,No
544,No
545,No
546,No
547,No
548,No
549,No
550,No
551,No
552,No
553,No
554,No
555,No
556,No
557,No
558,No
559,Yes
560,No
561,No
562,No
563,No
564,No
565,No
566,No
567,No
568,Yes
569,No
570,No
571,No
572,No
573,No
574,Yes
575,No
576,No
577,No
578,No
579,No
580,No
581,No
582,No
583,No
584,Yes
585,No
586,No
587,No
588,No
589,Yes
590,No
591,No
592,No
593,Yes
594,No
595,No
596,No
597,No
598,No
599,No
600,Yes
601,No
602,No
603,Yes
604,No
605,No
606,No
607,No
608,Yes
609,No
610,No
611,No
612,No
613,No
614,No
615,No
616,No
617,No
618,No
619,Yes
620,Yes
621,Yes
622,No
623,Yes
624,No
625,No
626,Yes
627,No
628,No
629,No
630,No
631,No
632,No
633,No
634,Yes
635,No
636,No
637,No
638,No
639,Yes
640,No
641,No
642,No
643,No
644,No
645,No
646,Yes
647,No
648,No
649,Yes
650,No
651,No
652,No
653,No
654,No
655,No
656,No
657,No
658,No
659,No
660,No
661,Yes
662,No
663,No
664,No
665,No
666,No
667,Yes
668,Yes
669,No
670,No
671,No
672,No
673,No
674,No
675,Yes
676,Yes
677,No
678,No
679,No
680,No
681,No
682,Yes
683,No
684,No
685,No
686,No
687,No
688,No
689,No
690,No
691,No
692,Yes
693,No
694,No
695,No
696,No
697,No
698,No
699,No
700,No
701,No
702,No
703,No
704,No
705,No
706,No
707,No
708,No
709,No
710,No
711,No
712,No
713,No
714,No
715,No
716,No
717,No
718,No
719,Yes
720,No
721,No
722,Yes
723,Yes
724,No
725,Yes
726,Yes
727,No
728,No
729,Yes
730,Yes
731,No
732,No
733,No
734,No
735,No
736,No
737,No
738,No
739,Yes
740,No
741,No
742,No
743,No
744,No
745,No
746,No
747,No
748,Yes
749,No
750,No
751,No
752,No
753,No
754,No
755,Yes
756,No
757,No
758,No
759,No
760,No
761,No
762,No
763,No
764,No
765,Yes
766,No
767,No
768,No
769,Yes
770,No
771,No
772,No
773,No
774,Yes
775,No
776,No
777,No
778,No
779,No
780,No
781,No
782,Yes
783,No
784,No
785,No
786,No
787,No
788,No
789,No
790,No
791,Yes
792,No
793,No
794,No
795,No
796,No
797,No
798,Yes
799,No
800,No
801,No
802,No
803,No
804,Yes
805,Yes
806,No
807,No
808,Yes
809,No
810,No
811,Yes
812,No
813,No
814,No
815,No
816,No
817,No
818,No
819,No
820,No
821,No
822,No
823,No
824,No
825,No
826,No
827,No
828,No
829,No
830,No
831,No
832,No
833,No
834,No
835,No
836,Yes
837,No
838,No
839,No
840,No
841,No
842,No
843,No
844,No
845,No
846,No
847,No
848,No
849,No
850,No
851,No
852,No
853,No
854,No
855,No
856,No
857,Yes
858,Yes
859,Yes
860,No
861,No
862,No
863,No
864,No
865,No
866,No
867,Yes
868,No
869,No
870,No
871,Yes
872,No
873,No
874,No
875,No
876,No
877,No
878,No
879,No
880,No
881,No
882,No
883,No
884,No
885,No
886,No
887,Yes
888,No
889,No
890,Yes
891,No
892,No
893,No
894,No
895,No
896,No
897,No
898,Yes
899,No
900,Yes
901,Yes
902,No
903,No
904,No
905,No
906,Yes
907,No
908,No
909,No
910,No
911,No
912,No
913,Yes
914,Yes
915,No
916,No
917,No
918,No
919,No
920,No
921,Yes
922,No
923,Yes
924,No
925,No
926,Yes
927,No
928,No
929,No
930,No
931,No
932,No
933,No
934,Yes
935,No
936,Yes
937,No
938,No
939,No
940,Yes
941,No
942,No
943,No
944,No
945,No
946,Yes
947,No
948,No
949,No
950,No
951,No
952,Yes
953,No
954,No
955,No
956,No
957,No
958,No
959,No
960,No
961,No
962,No
963,No
964,No
965,Yes
966,Yes
967,No
968,No
969,Yes
970,No
971,No
972,Yes
973,No
974,No
975,No
976,No
977,No
978,No
979,No
980,Yes
981,No
982,No
983,No
984,No
985,No
986,No
987,No
988,No
989,No
990,No
991,No
992,No
993,No
994,No
995,No
996,No
997,No
998,No
999,No
1000,Yes
1001,No
1002,No
1003,No
1004,No
1005,No
1006,No
1007,Yes
1008,No
1009,No
1010,No
1011,No
1012,No
1013,No
1014,No
1015,No
1016,No
1017,No
1018,No
1019,No
1020,No
1021,No
1022,No
1023,No
1024,No
1025,Yes
1026,No
1027,No
1028,No
1029,No
1030,No
1031,Yes
1032,No
1033,Yes
1034,No
1035,No
1036,No
1037,No
1038,No
1039,No
1040,No
1041,No
1042,Yes
1043,No
1044,No
1045,No
1046,Yes
1047,Yes
1048,No
1049,Yes
1050,No
1051,No
1052,No
1053,No
1054,No
1055,No
1056,No
1057,No
1058,No
1059,No
1060,No
1061,No
1062,No
1063,No
1064,No
1065,No
1066,No
1067,Yes
1068,No
1069,No
1070,No
1071,No
1072,No
1073,No
1074,Yes
1075,No
1076,No
1077,Yes
1078,No
1079,No
1080,Yes
1081,No
1082,No
1083,No
1084,No
1085,No
1086,No
1087,No
1088,No
1089,No
1090,No
1091,No
1092,No
1093,Yes
1094,Yes
1095,No
1096,No
1097,No
1098,Yes
1099,No
1100,No
1101,No
1102,No
1103,No
1104,No
1105,No
1106,No
1107,Yes
1108,No
1109,No
1110,No
1111,No
1112,Yes
1113,No
1114,No
1115,No
1116,No
1117,No
1118,No
1119,No
1120,No
1121,Yes
1122,No
1123,No
1124,No
1125,No
1126,No
1127,No
1128,No
1129,No
1130,No
1131,No
1132,No
1133,No
1134,No
1135,No
1136,Yes
1137,No
1138,No
1139,Yes
1140,No
1141,No
1142,No
1143,Yes
1144,No
1145,No
1146,No
1147,No
1148,No
1149,No
1150,No
1151,No
1152,No
1153,No
1154,No
1155,No
1156,No
1157,No
1158,No
1159,No
1160,No
1161,No
1162,No
1163,No
1164,No
1165,No
1166,No
1167,No
1168,No
1169,No
1170,No
1171,No
1172,No
1173,No
1174,No
1175,No
1176,No
1177,Yes
1178,No
1179,No
1180,No
1181,No
1182,No
1183,No
1184,No
1185,No
1186,Yes
1187,No
1188,No
1189,No
1190,No
1191,Yes
1192,No
1193,No
1194,No
1195,No
1196,No
1197,No
1198,No
1199,No
1200,No
1201,No
1202,No
1203,No
1204,No
1205,No
1206,No
1207,No
1208,No
1209,No
1210,Yes
1211,No
1212,No
1213,No
1214,No
1215,No
1216,No
1217,No
1218,No
1219,No
1220,No
1221,No
1222,No
1223,No
1224,No
1225,No
1226,Yes
1227,No
1228,No
1229,No
1230,Yes
1231,No
1232,No
1233,No
1234,No
1235,Yes
1236,No
1237,No
1238,No
1239,No
1240,No
1241,Yes
1242,No
1243,Yes
1244,No
1245,No
1246,No
1247,Yes
1248,No
1249,No
1250,No
1251,No
1252,Yes
1253,No
1254,No
1255,No
1256,No
1257,No
1258,No
1259,No
1260,No
1261,No
1262,Yes
1263,No
1264,No
1265,No
1266,No
1267,Yes
1268,No
1269,No
1270,No
1271,No
1272,No
1273,No
1274,Yes
1275,Yes
1276,No
1277,No
1278,No
1279,No
1280,No
1281,Yes
1282,No
1283,No
1284,No
1285,No
1286,No
1287,No
1288,No
1289,No
1290,No
1291,No
1292,Yes
1293,No
1294,No
1295,No
1296,No
1297,No
1298,No
1299,No
1300,No
1301,No
1302,No
1303,Yes
1304,No
1305,No
1306,Yes
1307,No
1308,Yes
1309,No
1310,No
1311,No
1312,Yes
1313,No
1314,No
1315,No
1316,No
1317,No
1318,No
1319,No
1320,No
1321,No
1322,Yes
1323,No
1324,Yes
1325,No
1326,Yes
1327,Yes
1328,Yes
1329,No
1330,No
1331,No
1332,No
1333,No
1334,No
1335,No
1336,No
1337,No
1338,No
1339,Yes
1340,No
1341,No
1342,No
1343,Yes
1344,No
1345,No
1346,No
1347,No
1348,No
1349,No
1350,No
1351,No
1352,No
1353,No
1354,No
1355,No
1356,No
1357,Yes
1358,Yes
1359,No
1360,No
1361,Yes
1362,No
1363,No
1364,Yes
1365,No
1366,Yes
1367,No
1368,No
1369,Yes
1370,No
1371,No
1372,No
1373,No
1374,No
1375,No
1376,No
1377,No
1378,No
1379,No
1380,No
1381,No
1382,No
1383,Yes
1384,No
1385,No
1386,Yes
1387,No
1388,No
1389,No
1390,No
1391,No
1392,No
1393,No
1394,No
1395,No
1396,No
1397,No
1398,No
1399,Yes
1400,No
1401,No
1402,No
1403,No
1404,Yes
1405,No
1406,No
1407,No
1408,No
1409,No
1410,No
1411,No
1412,No
1413,Yes
1414,No
1415,Yes
1416,Yes
1417,Yes
1418,Yes
1419,Yes
1420,No
1421,No
1422,No
1423,No
1424,No
1425,No
1426,No
1427,No
1428,No
1429,No
1430,No
1431,No
1432,No
1433,No
1434,No
1435,Yes
1436,No
1437,No
1438,No
1439,No
1440,No
1441,No
1442,Yes
1443,No
1444,No
1445,No
1446,No
1447,No
1448,No
1449,No
1450,No
1451,No
1452,No
1453,No
1454,Yes
1455,No
1456,No
1457,No
1458,No
1459,No
1460,No
1461,No
1462,No
1463,No
1464,No
1465,No
1466,Yes
1467,No
1468,No
1469,Yes
